date,temperature_mean_c,temperature_max_c,precipitation_mm,snowfall_cm,cloud_cover_pct,wind_max_kmh,solar_radiation_mj_m2
2020-01-20,5.2,6.6,7.1,0.63,85.0,12.2,4.32
2020-01-21,3.9,4.8,1.6,1.05,86.0,9.4,4.58
2020-01-22,4.4,9.4,0.0,0.0,52.0,7.1,9.65
2020-01-23,4.2,6.9,1.7,0.0,38.0,14.4,6.69
2020-01-24,4.8,8.8,0.1,0.0,26.0,6.9,9.18
2020-01-25,5.5,12.4,0.0,0.0,4.0,8.7,11.12
2020-01-26,7.8,14.2,0.0,0.0,51.0,8.4,9.69
2020-01-27,10.4,16.5,0.0,0.0,79.0,8.1,7.92
2020-01-28,9.9,11.4,15.8,0.0,80.0,7.7,2.4
2020-01-29,10.5,15.8,1.2,0.0,65.0,16.8,9.55
2020-01-30,8.1,10.5,10.4,0.0,90.0,9.9,2.8
2020-01-31,5.8,10.4,0.8,0.07,47.0,11.8,11.12
2020-02-01,10.3,14.8,0.6,0.0,61.0,9.8,5.75
2020-02-02,10.7,18.8,0.0,0.0,1.0,10.6,11.73
2020-02-03,12.3,17.3,0.3,0.0,57.0,19.1,8.79
2020-02-04,14.3,17.9,0.1,0.0,82.0,11.7,7.57
2020-02-05,14.8,19.7,14.6,0.0,66.0,14.2,8.5
2020-02-06,6.2,10.7,16.1,2.38,100.0,11.6,2.95
2020-02-07,3.9,5.9,3.5,2.17,86.0,13.4,7.51
2020-02-08,0.4,3.4,10.1,7.0,72.0,15.1,8.32
2020-02-09,0.4,2.7,0.7,0.84,43.0,6.5,9.1
2020-02-10,0.9,8.9,0.0,0.0,33.0,8.1,13.43
2020-02-11,8.6,14.9,0.0,0.0,51.0,15.8,10.86
2020-02-12,8.7,10.1,15.2,0.0,90.0,9.2,3.69
2020-02-13,7.8,12.2,0.2,0.0,22.0,7.4,13.82
2020-02-14,7.7,14.7,0.1,0.0,80.0,10.5,11.04
2020-02-15,9.6,10.5,8.3,0.0,100.0,10.3,3.78
2020-02-16,8.6,10.2,0.9,0.0,85.0,13.8,6.24
2020-02-17,8.2,13.3,0.0,0.0,26.0,8.6,13.33
2020-02-18,7.3,14.2,0.0,0.0,4.0,7.4,14.37
2020-02-19,8.3,14.8,0.0,0.0,47.0,7.0,13.89
2020-02-20,8.5,10.6,11.7,0.0,96.0,5.9,5.1
2020-02-21,7.6,8.8,11.0,0.0,99.0,12.6,3.65
2020-02-22,6.8,8.7,1.6,0.0,79.0,17.7,10.26
2020-02-23,6.7,10.4,0.0,0.0,47.0,9.4,11.25
2020-02-24,8.9,15.9,0.4,0.0,51.0,13.2,13.33
2020-02-25,9.5,15.9,0.2,0.0,19.0,8.6,16.08
2020-02-26,14.1,23.2,0.0,0.0,46.0,14.9,16.1
2020-02-27,15.8,21.4,8.6,0.0,73.0,21.6,12.48
2020-02-28,10.4,14.9,2.4,0.0,67.0,14.2,12.66
2020-02-29,8.3,10.2,13.3,0.0,96.0,12.6,2.96
2020-03-01,8.5,13.5,0.0,0.0,55.0,5.0,12.11
2020-03-02,11.2,20.0,0.0,0.0,20.0,14.5,16.87
2020-03-03,15.8,24.8,0.0,0.0,10.0,11.8,17.06
2020-03-04,15.5,21.5,0.0,0.0,80.0,6.6,12.75
2020-03-05,13.9,16.6,12.0,0.0,99.0,6.8,6.65
2020-03-06,12.8,16.2,14.1,0.0,84.0,9.3,8.35
2020-03-07,14.4,22.2,0.0,0.0,29.0,9.5,17.5
2020-03-08,17.3,23.7,0.0,0.0,84.0,9.1,13.38
2020-03-09,15.8,22.5,0.0,0.0,60.0,8.3,17.58
2020-03-10,12.1,13.3,12.1,0.0,96.0,8.4,3.68
2020-03-11,12.2,16.6,0.2,0.0,52.0,8.1,13.58
2020-03-12,12.6,18.7,0.0,0.0,0.0,13.2,18.77
2020-03-13,12.7,18.1,0.0,0.0,1.0,9.4,19.06
2020-03-14,12.1,17.9,0.0,0.0,32.0,9.1,18.77
2020-03-15,9.3,10.9,4.1,0.0,100.0,13.7,6.39
2020-03-16,6.2,7.2,3.3,0.14,83.0,21.4,7.65
2020-03-17,5.5,9.7,0.0,0.0,25.0,13.7,18.13
2020-03-18,4.6,9.6,1.0,0.14,27.0,19.3,16.78
2020-03-19,6.1,8.4,3.9,0.84,82.0,17.7,11.0
2020-03-20,7.4,10.8,0.0,0.0,56.0,11.2,12.3
2020-03-21,8.8,15.8,0.0,0.0,15.0,5.2,20.42
2020-03-22,11.8,18.9,0.0,0.0,61.0,9.5,19.55
2020-03-23,10.7,12.8,1.9,0.0,100.0,10.1,8.66
2020-03-24,10.0,11.9,1.7,0.0,99.0,13.0,8.46
2020-03-25,9.0,10.6,0.0,0.0,96.0,15.5,9.37
2020-03-26,11.0,15.8,0.0,0.0,98.0,14.9,19.12
2020-03-27,10.4,12.7,0.6,0.0,100.0,8.7,10.2
2020-03-28,9.1,9.8,12.3,0.0,100.0,6.9,3.9
2020-03-29,9.2,10.3,20.6,0.0,100.0,14.8,3.55
2020-03-30,12.0,16.8,0.2,0.0,51.0,8.1,19.52
2020-03-31,11.0,15.4,0.7,0.0,67.0,15.4,17.83
2020-04-01,9.2,10.9,0.0,0.0,92.0,11.5,7.57
2020-04-02,9.7,13.9,19.1,0.0,75.0,12.4,12.1
2020-04-03,8.2,11.1,4.8,0.0,94.0,9.2,8.89
2020-04-04,10.8,14.6,1.7,0.0,100.0,11.5,6.51
2020-04-05,13.8,17.0,14.8,0.0,91.0,13.4,11.88
2020-04-06,10.5,11.9,3.3,0.0,97.0,14.1,6.46
2020-04-07,10.6,13.7,0.0,0.0,69.0,22.2,19.73
2020-04-08,9.5,14.2,0.0,0.0,70.0,18.0,19.32
2020-04-09,9.7,13.9,0.0,0.0,52.0,14.4,15.11
2020-04-10,11.4,17.6,0.0,0.0,6.0,9.4,24.51
2020-04-11,13.2,20.6,0.0,0.0,6.0,10.4,24.21
2020-04-12,12.6,17.4,0.0,0.0,4.0,12.5,24.69
2020-04-13,11.9,18.3,0.0,0.0,5.0,6.1,24.85
2020-04-14,16.3,24.3,0.0,0.0,84.0,15.8,23.4
2020-04-15,13.0,15.7,5.8,0.0,98.0,14.4,12.32
2020-04-16,11.0,14.9,1.1,0.0,38.0,14.1,23.18
2020-04-17,12.6,19.9,0.0,0.0,34.0,6.8,25.39
2020-04-18,15.6,23.3,0.0,0.0,10.0,7.9,25.16
2020-04-19,17.0,25.1,0.0,0.0,40.0,7.6,23.58
